"Statistic Label","Year","Geographic Location","Component","UNIT","VALUE"
"Exports of Services","2012","Finland","Insurance","Euro Million","35"
"Exports of Services","2012","Finland","Financial services","Euro Million","53"
"Exports of Services","2012","Finland","Computer services","Euro Million",""
"Exports of Services","2012","Finland","Royalties/licences","Euro Million",""
"Exports of Services","2012","Finland","All business services","Euro Million","69"
"Exports of Services","2012","Finland","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","Finland","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","Finland","Business services: Operational leasing","Euro Million",""
"Exports of Services","2012","Finland","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2012","Finland","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2012","Finland","Business services: Research and development","Euro Million","0"
"Exports of Services","2012","Finland","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","Finland","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","Finland","Business services: Other","Euro Million","29"
"Exports of Services","2012","Finland","Business services: Trade related services","Euro Million","8"
"Exports of Services","2012","Finland","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","Finland","Repairs and processing","Euro Million","0"
"Exports of Services","2012","France","Services total","Euro Million","4995"
"Exports of Services","2012","France","Transport","Euro Million","357"
"Exports of Services","2012","France","Tourism and travel","Euro Million","189"
"Exports of Services","2012","France","Communications","Euro Million",""
"Exports of Services","2012","France","Insurance","Euro Million","644"
"Exports of Services","2012","France","Financial services","Euro Million","158"
"Exports of Services","2012","France","Computer services","Euro Million","2332"
"Exports of Services","2012","France","Royalties/licences","Euro Million","101"
"Exports of Services","2012","France","All business services","Euro Million","652"
"Exports of Services","2012","France","Business services: Merchanting","Euro Million",""
"Exports of Services","2012","France","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2012","France","Business services: Operational leasing","Euro Million","251"
"Exports of Services","2012","France","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2012","France","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2012","France","Business services: Research and development","Euro Million",""
"Exports of Services","2012","France","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2012","France","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2012","France","Business services: Other","Euro Million","291"
"Exports of Services","2012","France","Business services: Trade related services","Euro Million",""
"Exports of Services","2012","France","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2012","France","Repairs and processing","Euro Million",""
"Exports of Services","2012","United Kingdom","Services total","Euro Million","15032"
"Exports of Services","2012","United Kingdom","Transport","Euro Million","1841"
"Exports of Services","2012","United Kingdom","Tourism and travel","Euro Million","850"
"Exports of Services","2012","United Kingdom","Communications","Euro Million","215"
"Exports of Services","2012","United Kingdom","Insurance","Euro Million","2127"
"Exports of Services","2012","United Kingdom","Financial services","Euro Million","2665"
"Exports of Services","2012","United Kingdom","Computer services","Euro Million","3256"
"Exports of Services","2012","United Kingdom","Royalties/licences","Euro Million","356"
"Exports of Services","2012","United Kingdom","All business services","Euro Million","2332"
